Enjoyed1, Fit1, Relaxed1, Rested1, Sated1, Money1, Enjoyed2, Fit2, Relaxed2, Rested2, Sated2, Money2
0.7732384,0.9333138,0.6677105,0.8351939,0.7523583,430,0.9677435,0.9932799,1,1,0.8385098,70
0.6617658,0.9280582,0.4494975,0.6169808,0.7086761,465,0.9677435,0.9932799,1,1,0.8385098,70
0.6617658,0.9280582,0.4494975,0.6169808,0.7086761,465,0.9677435,0.9932799,1,1,0.8385098,70
0.6617658,0.9280582,0.4494975,0.6169808,0.7086761,465,1,0.993252,1,0.9497986,1,70
0.6617658,0.9280582,0.4494975,0.6169808,0.7086761,465,0.9998684,0.9932246,1,1,0.9499048,70
1,0.8219929,0.7448751,0.6018482,0.6026108,465,0.9998684,0.9932246,1,1,0.9499048,70
0.9998667,0.8219651,0.9447417,0.6517149,0.5508026,465,0.9998684,0.9932246,1,1,0.9499048,70
0.9995944,0.8219084,1,1,0.598965,465,0.9997323,0.9931962,0.9998639,0.9998639,1,70
0.9995944,0.8219084,1,1,0.598965,465,0.9874431,0.9906358,0.9875747,0.9875747,1,70
0.9995944,0.8219084,1,1,0.598965,465,0.9718109,0.9873788,0.9719425,0.9719425,0.9993245,70
0.9995944,0.8219084,1,1,0.598965,465,0.9543114,0.9837328,0.954443,0.954443,0.9982601,70
0.8912979,0.8167823,0.788122,0.788122,0.5565495,500,0.9378805,0.9803087,0.9380121,0.9380121,1,70
0.8912979,0.8167823,0.788122,0.788122,0.5565495,500,0.9254931,0.9777277,0.9256247,0.9256247,1,70
0.8912979,0.8167823,0.788122,0.788122,0.5565495,500,0.9114665,0.9748054,0.9115981,0.9115981,0.9996331,70
0.8912979,0.8167823,0.788122,0.788122,0.5565495,500,0.9009358,0.9726116,1,1,0.9464487,70
0.7869184,0.8125837,0.5795021,0.5795021,0.5148245,535,0.9009358,0.9726116,1,1,0.9464487,70
0.7869184,0.8125837,0.5795021,0.5795021,0.5148245,535,0.9009358,0.9726116,1,1,0.9464487,70
0.7869184,0.8125837,0.5795021,0.5795021,0.5148245,535,0.9009358,0.9726116,1,1,0.9464487,70
0.7869184,0.8125837,0.5795021,0.5795021,0.5148245,535,1,0.9725825,1,0.949586,1,70
1,0.7078345,0.8747922,0.5644154,0.4100753,535,0.9998634,0.972554,1,1,0.9496971,70
0.997159,0.7072427,0.8719512,0.5615744,0.4094833,535,0.9998634,0.972554,1,1,0.9496971,70
0.9875836,0.7052481,0.9623758,0.901999,0.3545409,535,0.9998634,0.972554,1,1,0.9496971,70
0.9875836,0.7052481,0.9623758,0.901999,0.3545409,535,0.9998634,0.972554,1,1,0.9496971,70
0.9875836,0.7052481,0.9623758,0.901999,0.3545409,535,0.9884081,0.970167,0.9885447,0.9885447,0.9976406,70
0.9875836,0.7052481,0.9623758,0.901999,0.3545409,535,0.987448,0.969967,1,1,0.9471402,70
0.9871789,0.7051637,1,1,0.5015082,535,0.987448,0.969967,1,1,0.9471402,70
0.9871789,0.7051637,1,1,0.5015082,535,0.987448,0.969967,1,1,0.9471402,70
0.9871789,0.7051637,1,1,0.5015082,535,1,0.9699395,1,0.9495675,1,70
0.9871789,0.7051637,1,1,0.5015082,535,0.9998655,0.9699115,1,1,0.9496711,70
0.9870456,0.7051359,0.9998667,0.9998667,0.6014805,535,0.9998655,0.9699115,1,1,0.9496711,70
0.9866422,0.7050519,0.9994633,0.9994633,0.9013965,535,0.9998655,0.9699115,1,1,0.9496711,70
0.9819294,0.70407,0.9947504,0.9947504,0.9990746,535,0.9998655,0.9699115,1,1,0.9496711,70
0.9644255,0.7004235,0.9772466,0.9772466,0.997986,535,0.9997276,0.9698828,0.9998621,0.9998621,1,70
0.9493619,0.6972853,0.9621829,0.9621829,1,535,0.9839809,0.9666021,0.9841154,0.9841154,0.9992958,70
0.9369727,0.694704,0.9497938,0.9497938,1,535,0.9664872,0.9629577,0.9666216,0.9666216,0.9982346,70
0.8138444,0.6869251,0.7204889,0.7204889,0.9539976,570,0.962562,0.9621401,1,1,0.9470384,70
0.8138444,0.6869251,0.7204889,0.7204889,0.9539976,570,0.962562,0.9621401,1,1,0.9470384,70
0.8138444,0.6869251,0.7204889,0.7204889,0.9539976,570,0.962562,0.9621401,1,1,0.9470384,70
0.8138444,0.6869251,0.7204889,0.7204889,0.9539976,570,0.962562,0.9621401,1,1,0.9470384,70
0.7074462,0.6826463,0.5078287,0.5078287,0.9114643,605,1,0.9621115,1,0.9494839,1,70
0.7074462,0.6826463,0.5078287,0.5078287,0.9114643,605,0.9998718,0.9620848,1,1,0.9495941,70
0.7074462,0.6826463,0.5078287,0.5078287,0.9114643,605,0.9998718,0.9620848,1,1,0.9495941,70
0.7074462,0.6826463,0.5078287,0.5078287,0.9114643,605,0.9998718,0.9620848,1,1,0.9495941,70
0.70271,0.6816593,0.6030926,0.8530926,0.8565083,605,0.9997428,0.9620579,0.999871,0.999871,1,70
0.70271,0.6816593,0.6030926,0.8530926,0.8565083,605,0.987347,0.9594756,1,1,0.9470125,70
0.70271,0.6816593,0.6030926,0.8530926,0.8565083,605,0.987347,0.9594756,1,1,0.9470125,70
0.70271,0.6816593,0.6030926,0.8530926,0.8565083,605,0.987347,0.9594756,1,1,0.9470125,70
0.5899599,0.6763551,0.3823099,0.6323099,0.8123123,640,0.987347,0.9594756,1,1,0.9470125,70
0.5899599,0.6763551,0.3823099,0.6323099,0.8123123,640,1,0.9594472,1,0.9494581,1,70
0.5899599,0.6763551,0.3823099,0.6323099,0.8123123,640,0.9998693,0.95942,1,1,0.949567,70
0.5899599,0.6763551,0.3823099,0.6323099,0.8123123,640,0.9998693,0.95942,1,1,0.949567,70
1,0.5688795,0.6775928,0.6169435,0.7048367,640,0.9998693,0.95942,1,1,0.949567,70
0.9998659,0.5688515,0.8774586,0.6668094,0.6504973,640,0.9998693,0.95942,1,1,0.949567,70
0.9997319,0.5688236,0.9773247,1,0.5961577,640,0.9901763,0.9574003,0.9903069,0.9903069,0.9980086,70
0.9997319,0.5688236,0.9773247,1,0.5961577,640,0.9749545,0.9542288,0.9750851,0.9750851,1,70
0.9997319,0.5688236,0.9773247,1,0.5961577,640,0.9626774,0.9516705,0.9628081,0.9628081,1,70
0.9997319,0.5688236,0.9773247,1,0.5961577,640,0.9471959,0.9484449,0.9473266,0.9473266,0.9993539,70
0.8863702,0.5634948,0.7553197,0.7779951,0.5517173,675,0.9311843,0.9451092,0.9313149,0.9313149,0.9985975,70
0.8863702,0.5634948,0.7553197,0.7779951,0.5517173,675,0.9255468,0.9439347,1,1,0.9466785,70
0.8863702,0.5634948,0.7553197,0.7779951,0.5517173,675,0.9255468,0.9439347,1,1,0.9466785,70
0.8863702,0.5634948,0.7553197,0.7779951,0.5517173,675,0.9255468,0.9439347,1,1,0.9466785,70
0.7775111,0.5591188,0.53773,0.5604054,0.5081983,710,0.9255468,0.9439347,1,1,0.9466785,70
0.7775111,0.5591188,0.53773,0.5604054,0.5081983,710,1,0.9439071,1,0.9493065,1,70
0.7775111,0.5591188,0.53773,0.5604054,0.5081983,710,0.9998621,0.9438784,1,1,0.9494101,70
0.7775111,0.5591188,0.53773,0.5604054,0.5081983,710,0.9998621,0.9438784,1,1,0.9494101,70
0.772809,0.5581392,0.7330278,0.6057032,0.4528001,710,0.9998621,0.9438784,1,1,0.9494101,70
0.772671,0.5581105,0.9328898,0.6555653,0.3983524,710,0.9997284,0.9438505,0.9998663,0.9998663,1,70
0.7576043,0.5549715,0.9178231,0.6404986,0.3952135,710,0.9873429,0.9412702,1,1,0.9468324,70
0.7456617,0.5513943,0.9058806,0.6176654,0.3818347,700,0.9873429,0.9412702,1,1,0.9468324,70
0.9272155,0.5475509,0.9374343,0.5446946,1,700,0.9873429,0.9412702,1,1,0.9468324,70
0.9270813,0.5475229,1,0.8945605,0.9454473,700,0.9873429,0.9412702,1,1,0.9468324,70
0.9270813,0.5475229,1,0.8945605,0.9454473,700,1,0.9412414,1,0.9492742,1,70
0.9270813,0.5475229,1,0.8945605,0.9454473,700,0.9998698,0.9412143,1,1,0.949385,70
0.9270813,0.5475229,1,0.8945605,0.9454473,700,0.9998698,0.9412143,1,1,0.949385,70
0.9269475,0.547495,1,1,0.8908943,700,0.9998698,0.9412143,1,1,0.949385,70
0.9269475,0.547495,1,1,0.8908943,700,0.9998698,0.9412143,1,1,0.949385,70
0.9269475,0.547495,1,1,0.8908943,700,0.9906325,0.9392884,0.9907627,0.9907627,0.9981024,70
0.9269475,0.547495,1,1,0.8908943,700,0.9750074,0.9360325,0.9751377,0.9751377,1,70
0.9266827,0.5474398,0.9997352,0.9997352,1,700,0.9626287,0.9334534,0.9627589,0.9627589,1,70
0.9094549,0.5438507,0.9825074,0.9825074,0.9989905,700,0.9476829,0.9303398,0.9478132,0.9478132,0.9994678,70
0.8919645,0.540207,0.965017,0.965017,0.9979274,700,0.9301859,0.9266947,0.9303161,0.9303161,0.998403,70
0.9701775,0.9356672,1,0.8925866,0.7908143,700,0.92546,0.9257097,1,1,0.9466726,70
0.9664158,0.9348834,0.9962384,0.8888249,0.7900305,700,0.92546,0.9257097,1,1,0.9466726,70
0.9505723,0.9315823,0.9803948,0.8729814,0.9867295,700,0.92546,0.9257097,1,1,0.9466726,70
0.9504377,0.9315543,1,1,0.936017,700,0.92546,0.9257097,1,1,0.9466726,70
0.9504377,0.9315543,1,1,0.936017,700,1,0.9256827,1,0.9491272,1,70
0.9504377,0.9315543,1,1,0.936017,700,0.9998627,0.9256541,1,1,0.9492279,70
0.9504377,0.9315543,1,1,0.936017,700,0.9998627,0.9256541,1,1,0.9492279,70
0.9474944,0.9309411,0.9970568,0.9970568,0.9994426,700,0.9998627,0.9256541,1,1,0.9492279,70
0.9315026,0.9276099,0.981065,0.981065,0.9986872,700,0.9998627,0.9256541,1,1,0.9492279,70
0.9155291,0.9242818,0.9650915,0.9650915,0.997934,700,0.9874046,0.9230583,1,1,0.9466633,70
0.9131061,0.9237772,1,1,0.9465604,700,0.9874046,0.9230583,1,1,0.9466633,70
0.9131061,0.9237772,1,1,0.9465604,700,0.9874046,0.9230583,1,1,0.9466633,70
0.9131061,0.9237772,1,1,0.9465604,700,0.9874046,0.9230583,1,1,0.9466633,70
0.9131061,0.9237772,1,1,0.9465604,700,1,0.9230313,1,0.9491009,1,70
0.9006714,0.9211854,1,1,0.9464415,700,0.9998639,0.923003,1,1,0.9492016,70
0.9006714,0.9211854,1,1,0.9464415,700,0.9998639,0.923003,1,1,0.9492016,70
0.9006714,0.9211854,1,1,0.9464415,700,0.9998639,0.923003,1,1,0.9492016,70
0.9006714,0.9211854,1,1,0.9464415,700,0.9998639,0.923003,1,1,0.9492016,70
0.9005361,0.9211572,0.9998646,0.9998646,1,700,0.9989222,0.9228067,0.9990582,0.9990582,0.9998307,70
1,0.9185907,1,0.9367316,1,700,0.9828425,0.9194567,0.9829786,0.9829786,0.9990515,70
0.9998639,0.9185624,1,1,0.9491572,700,0.9653594,0.9158139,0.9654956,0.9654956,0.9979816,70
0.9998639,0.9185624,1,1,0.9491572,700,0.9503748,0.9126921,1,1,0.9465625,70
0.9998639,0.9185624,1,1,0.9491572,700,0.9502457,0.9126652,0.9998709,0.9998709,1,70
0.9998639,0.9185624,1,1,0.9491572,700,0.9501105,0.9126371,1,1,0.9490982,70
0.9907457,0.9166628,0.9908817,0.9908817,0.9981288,700,0.9501105,0.9126371,1,1,0.9490982,70
0.8811302,0.9109454,0.7795665,0.7795665,0.9557996,735,0.9501105,0.9126371,1,1,0.9490982,70
0.8811302,0.9109454,0.7795665,0.7795665,0.9557996,735,0.9499791,0.9126098,0.9998686,0.9998686,1,70
0.8811302,0.9109454,0.7795665,0.7795665,0.9557996,735,0.9376389,0.9100385,1,1,0.9465292,70
0.8811302,0.9109454,0.7795665,0.7795665,0.9557996,735,0.9376389,0.9100385,1,1,0.9465292,70
0.7765862,0.9067413,0.5706112,0.5706112,0.9140074,770,0.9376389,0.9100385,1,1,0.9465292,70
0.7765862,0.9067413,0.5706112,0.5706112,0.9140074,770,0.9376389,0.9100385,1,1,0.9465292,70
0.7765862,0.9067413,0.5706112,0.5706112,0.9140074,770,0.9369664,0.9098984,0.9993275,0.9993275,0.9998882,70
0.7752448,0.9064617,0.5692698,0.5692698,0.9137278,770,0.7139059,0.9018032,0.7762671,0.7762671,0.9551154,105
0.7719002,0.905765,0.6659252,0.9159251,0.8596904,770,0.7139059,0.9018032,0.7762671,0.7762671,0.9551154,105
0.7719002,0.905765,0.6659252,0.9159251,0.8596904,770,0.7139059,0.9018032,0.7762671,0.7762671,0.9551154,105
0.7719002,0.905765,0.6659252,0.9159251,0.8596904,770,0.7139059,0.9018032,0.7762671,0.7762671,0.9551154,105
0.7719002,0.905765,0.6659252,0.9159251,0.8596904,770,0.7062948,0.9002174,0.8686559,1,0.9005925,105
0.6604568,0.9005215,0.4477069,0.6977068,0.8160079,805,0.7062948,0.9002174,0.8686559,1,0.9005925,105
0.6604568,0.9005215,0.4477069,0.6977068,0.8160079,805,0.7062948,0.9002174,0.8686559,1,0.9005925,105
0.6604568,0.9005215,0.4477069,0.6977068,0.8160079,805,0.7062948,0.9002174,0.8686559,1,0.9005925,105
0.6604568,0.9005215,0.4477069,0.6977068,0.8160079,805,0.9061596,0.9001892,0.9185207,0.9488667,1,105
1,0.7944074,0.7430278,0.6825137,0.7098938,805,0.9060234,0.9001608,1,1,0.9489732,105
